step,status,executed_end_us,completed_end_us,exc_count,inh_count,exc_rate_hz,inh_rate_hz,captured_step_ns
1,pending,1000,0,,,,,10356958
2,complete,2000,1000,0,0,0.0,0.0,9880583
3,complete,3000,2000,0,0,0.0,0.0,9862708
4,complete,4000,3000,0,0,0.0,0.0,9909042
5,complete,5000,4000,0,0,0.0,0.0,9910458
6,complete,6000,5000,0,0,0.0,0.0,10126625
7,complete,7000,6000,0,0,0.0,0.0,9628208
8,complete,8000,7000,4,0,1000.0,0.0,9862791
9,complete,9000,8000,0,0,0.0,0.0,10095541
10,complete,10000,9000,0,0,0.0,0.0,9934583
11,complete,11000,10000,0,0,0.0,0.0,10037708
12,complete,12000,11000,0,0,0.0,0.0,9760791
13,complete,13000,12000,0,4,0.0,1000.0,9678125
14,complete,14000,13000,4,0,1000.0,0.0,9706625
15,complete,15000,14000,0,0,0.0,0.0,9521000
16,complete,16000,15000,0,0,0.0,0.0,9787625
17,complete,17000,16000,0,4,0.0,1000.0,10376375
18,complete,18000,17000,0,0,0.0,0.0,10003292
19,complete,19000,18000,0,0,0.0,0.0,10020792
20,complete,20000,19000,0,0,0.0,0.0,10085584
21,complete,21000,20000,0,0,0.0,0.0,10062125
22,complete,22000,21000,0,0,0.0,0.0,10050334
23,complete,23000,22000,0,0,0.0,0.0,9886042
24,complete,24000,23000,0,0,0.0,0.0,9677875
25,complete,25000,24000,0,0,0.0,0.0,9630083
26,complete,26000,25000,0,0,0.0,0.0,9539625
27,complete,27000,26000,0,0,0.0,0.0,9781958
28,complete,28000,27000,0,0,0.0,0.0,9702209
29,complete,29000,28000,0,0,0.0,0.0,9804625
30,complete,30000,29000,0,0,0.0,0.0,9618625
31,complete,31000,30000,4,0,1000.0,0.0,9712667
32,complete,32000,31000,0,0,0.0,0.0,9703792
33,complete,33000,32000,0,0,0.0,0.0,9857750
34,complete,34000,33000,0,4,0.0,1000.0,10206916
35,complete,35000,34000,0,0,0.0,0.0,9760333
36,complete,36000,35000,0,0,0.0,0.0,9651667
37,complete,37000,36000,0,0,0.0,0.0,9973125
38,complete,38000,37000,0,0,0.0,0.0,9645583
39,complete,39000,38000,0,0,0.0,0.0,9542125
40,complete,40000,39000,0,0,0.0,0.0,9714958
41,complete,41000,40000,0,0,0.0,0.0,9858167
42,complete,42000,41000,0,0,0.0,0.0,9701584
43,complete,43000,42000,0,0,0.0,0.0,9810333
44,complete,44000,43000,4,0,1000.0,0.0,9792209
45,complete,45000,44000,0,0,0.0,0.0,9703875
46,complete,46000,45000,0,0,0.0,0.0,9613250
47,complete,47000,46000,0,0,0.0,0.0,16809041
48,complete,48000,47000,0,4,0.0,1000.0,9892917
49,complete,49000,48000,0,0,0.0,0.0,9839417
50,complete,50000,49000,0,0,0.0,0.0,9909458
51,complete,51000,50000,0,0,0.0,0.0,10090208
52,complete,52000,51000,0,0,0.0,0.0,9666708
53,complete,53000,52000,0,0,0.0,0.0,9895666
54,complete,54000,53000,0,0,0.0,0.0,9704375
55,complete,55000,54000,0,0,0.0,0.0,9732916
56,complete,56000,55000,0,0,0.0,0.0,9688000
57,complete,57000,56000,0,0,0.0,0.0,9778333
58,complete,58000,57000,4,0,1000.0,0.0,9710000
59,complete,59000,58000,0,0,0.0,0.0,9600084
60,complete,60000,59000,0,0,0.0,0.0,9566042
61,complete,61000,60000,0,4,0.0,1000.0,9834375
62,complete,62000,61000,0,0,0.0,0.0,9623292
63,complete,63000,62000,0,0,0.0,0.0,9607167
64,complete,64000,63000,0,0,0.0,0.0,9547208
65,complete,65000,64000,0,0,0.0,0.0,9785875
66,complete,66000,65000,0,0,0.0,0.0,9836375
67,complete,67000,66000,0,0,0.0,0.0,10102833
68,complete,68000,67000,0,0,0.0,0.0,9936792
69,complete,69000,68000,0,0,0.0,0.0,10020084
70,complete,70000,69000,0,0,0.0,0.0,9835542
71,complete,71000,70000,4,0,1000.0,0.0,10065375
72,complete,72000,71000,0,0,0.0,0.0,9750292
73,complete,73000,72000,0,0,0.0,0.0,9618250
74,complete,74000,73000,0,0,0.0,0.0,9758125
75,complete,75000,74000,0,4,0.0,1000.0,9711792
76,complete,76000,75000,0,0,0.0,0.0,9986625
77,complete,77000,76000,0,0,0.0,0.0,9699333
78,complete,78000,77000,0,0,0.0,0.0,9602542
79,complete,79000,78000,0,0,0.0,0.0,9928375
80,complete,80000,79000,0,0,0.0,0.0,9768333
81,complete,81000,80000,0,0,0.0,0.0,9650291
82,complete,82000,81000,0,0,0.0,0.0,9670125
83,complete,83000,82000,0,0,0.0,0.0,9974083
84,complete,84000,83000,0,0,0.0,0.0,10324625
85,complete,85000,84000,4,0,1000.0,0.0,9888250
86,complete,86000,85000,0,0,0.0,0.0,9733834
87,complete,87000,86000,0,0,0.0,0.0,9765458
88,complete,88000,87000,0,0,0.0,0.0,9635125
89,complete,89000,88000,0,4,0.0,1000.0,9772375
90,complete,90000,89000,0,0,0.0,0.0,10154500
91,complete,91000,90000,0,0,0.0,0.0,9953917
92,complete,92000,91000,0,0,0.0,0.0,9852917
93,complete,93000,92000,0,0,0.0,0.0,9684542
94,complete,94000,93000,0,0,0.0,0.0,9764334
95,complete,95000,94000,0,0,0.0,0.0,9682291
96,complete,96000,95000,0,0,0.0,0.0,9700250
97,complete,97000,96000,0,0,0.0,0.0,9606250
98,complete,98000,97000,0,0,0.0,0.0,9814333
99,complete,99000,98000,4,0,1000.0,0.0,9644500
100,complete,100000,99000,0,0,0.0,0.0,9815375
